"taxi_id","trip_start","trip_end","trip_miles","fare","tips","tolls","trip_total","payment_type","company"
85,2016-01-13 06:15:00,2016-01-13 06:15:00,0.4,4.5,0,0,4.5,"Cash",107
2776,2016-01-22 09:30:00,2016-01-22 09:45:00,0.7,4.45,4.45,0,8.9,"Credit Card",NA
3168,2016-01-31 21:30:00,2016-01-31 21:30:00,0,42.75,5,0,47.75,"Credit Card",119
4237,2016-01-23 17:30:00,2016-01-23 17:30:00,1.1,7,0,0,7,"Cash",NA
5710,2016-01-14 05:45:00,2016-01-14 06:00:00,2.71,10.25,0,0,10.25,"Cash",NA
1987,2016-01-08 18:15:00,2016-01-08 18:45:00,6.2,17.75,0,0,17.75,"Cash",NA
4986,2016-01-14 04:30:00,2016-01-14 05:00:00,18.4,45,12,0,57,"Credit Card",NA
6400,2016-01-26 04:15:00,2016-01-26 04:15:00,0.2,3.75,0,0,3.75,"Cash",107
7418,2016-01-22 11:30:00,2016-01-22 11:45:00,0,5,2,0,8.5,"Credit Card",82
6450,2016-01-07 21:15:00,2016-01-07 21:15:00,0,3.25,0,0,4.75,"Cash",NA
1078,2016-01-25 09:00:00,2016-01-25 09:00:00,1.3,7,1,0,8,"Credit Card",109
6641,2016-01-06 23:15:00,2016-01-06 23:30:00,0,7.25,0,0,7.25,"Cash",8
920,2016-01-13 18:30:00,2016-01-13 19:00:00,5.1,17.25,5.18,0,22.43,"Credit Card",NA
7984,2016-01-22 09:45:00,2016-01-22 09:45:00,0,6.25,0,0,6.25,"Cash",107
6078,2016-01-03 07:45:00,2016-01-03 08:00:00,0.1,9,0,0,9,"Cash",107
221,2016-01-03 16:30:00,2016-01-03 16:30:00,0,10.75,0,0,10.75,"Cash",101
6535,2016-01-25 10:30:00,2016-01-25 10:30:00,2.2,10,0,0,10,"Cash",92
5292,2016-01-29 08:15:00,2016-01-29 08:30:00,0.8,5.5,0,0,5.5,"Cash",NA
5367,2016-01-11 14:00:00,2016-01-11 14:00:00,0,6.75,0,0,6.75,"Cash",107
4251,2016-01-01 19:30:00,2016-01-01 19:45:00,4.1,11.85,3,0,15.85,"Credit Card",101
3428,2016-01-20 07:30:00,2016-01-20 07:45:00,2.5,10.25,1.75,0,12,"Credit Card",NA
5132,2016-01-08 19:30:00,2016-01-08 19:30:00,0.2,12.25,2,0,15.25,"Credit Card",8
